word,cluster_id,cluster_name,frequency,degree
tenants,0,tenants / council / housing,3957,10
council,0,tenants / council / housing,2883,10
housing,0,tenants / council / housing,2054,2
london,0,tenants / council / housing,1552,9
association,0,tenants / council / housing,1099,3
newham,0,tenants / council / housing,866,3
house,0,tenants / council / housing,789,2
contact,0,tenants / council / housing,782,9
borough,0,tenants / council / housing,760,6
tel,0,tenants / council / housing,687,11
road,0,tenants / council / housing,646,4
city,0,tenants / council / housing,568,6
centre,0,tenants / council / housing,526,6
department,0,tenants / council / housing,451,4
street,0,tenants / council / housing,424,4
assoc,0,tenants / council / housing,380,11
campaign,0,tenants / council / housing,364,2
bor,0,tenants / council / housing,349,10
associations,0,tenants / council / housing,335,2
federation,0,tenants / council / housing,327,2
safe,0,tenants / council / housing,288,3
north,0,tenants / council / housing,275,1
feel,0,tenants / council / housing,232,1
district,0,tenants / council / housing,219,1
law,0,tenants / council / housing,203,5
met,0,tenants / council / housing,192,5
sheffield,0,tenants / council / housing,190,3
park,0,tenants / council / housing,186,4
environment,0,tenants / council / housing,171,1
unit,0,tenants / council / housing,169,2
telephone,0,tenants / council / housing,155,1
res,0,tenants / council / housing,154,7
birmingham,0,tenants / council / housing,145,1
neighbourhood,0,tenants / council / housing,138,4
blocks,1,blocks / estate / flats,4783,27
estate,1,blocks / estate / flats,1803,8
flats,1,blocks / estate / flats,1659,12
built,1,blocks / estate / flats,780,18
construction,1,blocks / estate / flats,708,18
concrete,1,blocks / estate / flats,705,10
panel,1,blocks / estate / flats,672,6
storeys,1,blocks / estate / flats,599,15
large,1,blocks / estate / flats,562,7
management,1,blocks / estate / flats,434,11
security,1,blocks / estate / flats,415,7
cause,1,blocks / estate / flats,366,8
demolished,1,blocks / estate / flats,354,15
concern,1,blocks / estate / flats,345,9
bison,1,blocks / estate / flats,345,4
storey,1,blocks / estate / flats,342,2
schemes,1,blocks / estate / flats,337,10
stock,1,blocks / estate / flats,318,13
particular,1,blocks / estate / flats,280,12
owners,1,blocks / estate / flats,264,14
include,1,blocks / estate / flats,263,3
transferred,1,blocks / estate / flats,258,13
contain,1,blocks / estate / flats,252,13
represent,1,blocks / estate / flats,234,15
total,1,blocks / estate / flats,233,12
aspects,1,blocks / estate / flats,211,12
method,1,blocks / estate / flats,198,17
operating,1,blocks / estate / flats,181,10
inner,1,blocks / estate / flats,157,6
methods,1,blocks / estate / flats,156,13
councils,1,blocks / estate / flats,150,1
situ,1,blocks / estate / flats,147,14
represents,1,blocks / estate / flats,141,11
tower,2,tower / block / people,2987,11
block,2,tower / block / people,2288,5
people,2,tower / block / people,1100,3
children,2,tower / block / people,1038,22
new,2,tower / block / people,734,1
living,2,tower / block / people,559,7
years,2,tower / block / people,559,7
homes,2,tower / block / people,517,5
tenant,2,tower / block / people,506,4
policy,2,tower / block / people,359,9
families,2,tower / block / people,298,4
accommodation,2,tower / block / people,297,10
concerned,2,tower / block / people,296,2
small,2,tower / block / people,272,7
numbers,2,tower / block / people,259,11
offer,2,tower / block / people,240,11
substantial,2,tower / block / people,232,11
policies,2,tower / block / people,231,10
offered,2,tower / block / people,213,10
live,2,tower / block / people,209,1
young,2,tower / block / people,207,4
current,2,tower / block / people,169,1
single,2,tower / block / people,157,2
properties,2,tower / block / people,149,1
changed,2,tower / block / people,148,12
households,2,tower / block / people,142,10
residents,3,residents / meeting / ledbury,833,1
meeting,3,residents / meeting / ledbury,662,4
ledbury,3,residents / meeting / ledbury,561,9
committee,3,residents / meeting / ledbury,391,4
project,3,residents / meeting / ledbury,356,1
southwark,3,residents / meeting / ledbury,336,2
agreed,3,residents / meeting / ledbury,268,1
towers,3,residents / meeting / ledbury,252,3
meetings,3,residents / meeting / ledbury,241,5
members,3,residents / meeting / ledbury,215,2
resident,3,residents / meeting / ledbury,208,3
arup,3,residents / meeting / ledbury,208,2
held,3,residents / meeting / ledbury,203,2
officers,3,residents / meeting / ledbury,201,2
officer,3,residents / meeting / ledbury,173,1
process,3,residents / meeting / ledbury,171,1
george,3,residents / meeting / ledbury,167,1
member,3,residents / meeting / ledbury,155,3
team,3,residents / meeting / ledbury,154,1
chairman,3,residents / meeting / ledbury,150,3
options,3,residents / meeting / ledbury,149,5
rpg,3,residents / meeting / ledbury,148,6
minutes,3,residents / meeting / ledbury,148,2
recommendations,3,residents / meeting / ledbury,143,1
councillor,3,residents / meeting / ledbury,140,3
problems,4,problems / heating / information,853,2
heating,4,problems / heating / information,619,4
information,4,problems / heating / information,598,1
groups,4,problems / heating / information,493,3
systems,4,problems / heating / information,442,6
play,4,problems / heating / information,349,4
advice,4,problems / heating / information,311,3
support,4,problems / heating / information,301,1
door,4,problems / heating / information,290,4
lack,4,problems / heating / information,266,6
open,4,problems / heating / information,262,1
escape,4,problems / heating / information,261,3
room,4,problems / heating / information,260,3
range,4,problems / heating / information,253,2
bedroom,4,problems / heating / information,240,1
smoke,4,problems / heating / information,224,1
doors,4,problems / heating / information,223,3
entry,4,problems / heating / information,199,4
poor,4,problems / heating / information,198,3
means,4,problems / heating / information,187,1
inadequate,4,problems / heating / information,169,7
lifts,4,problems / heating / information,166,3
insulation,4,problems / heating / information,165,1
installed,4,problems / heating / information,163,2
floor,5,floor / wall / flat,1119,5
wall,5,floor / wall / flat,848,11
flat,5,floor / wall / flat,846,1
panels,5,floor / wall / flat,586,8
walls,5,floor / wall / flat,490,10
joints,5,floor / wall / flat,377,2
floors,5,floor / wall / flat,352,1
joint,5,floor / wall / flat,349,4
load,5,floor / wall / flat,247,2
