doc_a,doc_b,similarity,cross_archive,shared_terms
TBUK4_002,TBUK4_027,1.0,False,"calford seaden, calford, seaden, rpg"
TBUK4_008,TBUK4_032,1.0,False,"pt, rpg, supervisor, eb"
TBUK15_001,TBUK15_056,1.0,False,"network, blocks network, national tower, tower blocks"
TBUK4_003,TBUK4_004,1.0,False,"cost, programme, rpg, works"
TBUK4_001,TBUK4_026,1.0,False,"update, meeting, report, update report"
WESA_1_10_18,WESA_1_11_07,1.0,True,"bylaws, flat, loadbearing, building"
TBUK4_011,TBUK4_034,1.0,False,"development, potential, boundary, house"
TBUK4_007,TBUK4_031,1.0,False,"rpg, asked, options, council"
WESA16_01,UNCATALOGUED_04,0.9997,True,"point, ronan, ronan point, building"
WESA14_01,UNCATALOGUED_02,0.9996,True,"ronan, point, ronan point, fairweather"
TBUK4_241,TBUK4_243,0.999,False,"properties, maisonettes, ground floor, bedroomed"
TBUK4_005,TBUK4_029,0.999,False,"bedroom, london plan, plan standards, bedroom bedroom"
TBUK3_033,TBUK3_041,0.9989,False,"newham, association, mr, community"
TBUK4_188,TBUK4_198,0.9988,False,"homes, new homes, leaseholders, towers"
TBUK4_225,TBUK4_227,0.9987,False,"film, row, consultation, responses"
WESA_1_10_15,WESA_1_11_04,0.9986,True,"crack, flat, child, tenancy"
WESA_1_10_13,WESA_1_11_02,0.998,True,"client, hereward, foster, act"
WESA_1_10_16,WESA_1_11_05,0.9974,True,"proceedings, foster, hereward, meekings"
TBUK1025,WESA_1_7_07,0.9967,True,"tenants, tel, sue mcdowell, mcdowell"
TBUK4_006,TBUK4_030,0.9956,False,"mt, leaseholders, ballot, tenants right"
WESA_1_10_17,WESA_1_11_06,0.9947,True,"mm, resistance, remedial, leakage"
TBUK4_153,TBUK4_158,0.9924,False,"urgent, residents, ledbury estate, blocks"
TBUK4_004,TBUK4_028,0.9919,False,"cost, programme, rpg, works"
TBUK4_003,TBUK4_028,0.9919,False,"cost, programme, rpg, works"
WESA_1_10_14,WESA_1_11_03,0.9886,True,"foster, hereward, meekings, copy"
TBUK4_082,TBUK4_152,0.9879,False,"options, ledbury, hunters, mike tyrrell"
WESA_1_7_07,WESA_2_6_02,0.9849,True,"tenants, tel, sue mcdowell, mcdowell"
TBUK1025,WESA_2_6_02,0.9819,True,"tenants, tel, sue mcdowell, mcdowell"
TBUK3_032,TBUK3_040,0.9817,False,"newham, association, tenants, tenants association"
TBUK4_013,TBUK4_036,0.98,False,"works, resident, ledbury estate, resident project"
TBUK4_162,TBUK4_169,0.9666,False,"resident, services officer, resident services, oxygen"
TBUK4_197,TBUK4_203,0.9541,False,"mike tyrrell, tyrrell, ledbury resident, ledbury"
RP2_02,WESA_2_5_02,0.9519,True,"creative, victory, point rochester, rochester avenue"
WESA_5_3_06,WESA_5_3_07,0.9515,False,"morris walk, morris, walk, housing services"
TBUK4_010,TBUK4_033,0.9488,False,"charges, right return, cabinet, return"
TBUK4_077,TBUK4_078,0.9468,False,"surfaces, strengthening, drawing, steel"
TBUK4_163,TBUK4_170,0.9463,False,"ledbury, neal, properties, team"
TBUK3_021,TBUK3_022,0.9375,False,"groups, campaigns, community flats, party"
TBUK4_027,TBUK4_177,0.9332,False,"calford, calford seaden, seaden, rpg"
TBUK4_002,TBUK4_177,0.9332,False,"calford, calford seaden, seaden, rpg"
TBUK6_010,TBUK6_011,0.9212,False,"hour, wall, timber, details"
